Date/Time,Calling #,Called #,Duration,Amount,Tax,Total,Destination,Extension
07/31/2023 17:08:33,18885551212,18665551212,2 min,$0.0000,$0.0000,$0.0000,Incoming,
07/31/2023 17:08:40,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
07/31/2023 16:58:48,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/31/2023 16:10:58,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/31/2023 15:50:59,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/31/2023 13:50:32,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/31/2023 12:24:34,18885551212,18665551212,12 min,$0.0000,$0.0000,$0.0000,Incoming,100
07/31/2023 12:24:28,18885551212,18665551212,13 min,$0.0000,$0.0000,$0.0000,Incoming,
07/31/2023 10:25:44,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
07/31/2023 10:25:37,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/31/2023 09:30:38,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/31/2023 09:05:25,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/29/2023 09:37:07,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/28/2023 20:13:27,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/28/2023 17:33:44,18885551212,18665551212,11 min,$0.0000,$0.0000,$0.0000,Incoming,100
07/28/2023 17:01:03,18885551212,18665551212,29 min,$0.0000,$0.0000,$0.0000,Incoming,100
07/28/2023 17:23:55,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/28/2023 17:11:23,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/28/2023 14:29:33,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/28/2023 12:58:34,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/28/2023 12:47:08,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/28/2023 10:49:38,18885551212,18665551212,3 min,$0.0000,$0.0000,$0.0000,Incoming,100
07/28/2023 10:48:43,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
07/27/2023 16:18:56,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/27/2023 13:03:45,18885551212,18665551212,0 min,$0.0000,$0.0000,$0.0000,Incoming,100
07/27/2023 13:03:31,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/27/2023 12:38:07,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/27/2023 12:17:07,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/27/2023 10:46:44,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/26/2023 18:01:22,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/26/2023 15:01:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
07/26/2023 13:57:49,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
